group,function,value,sample_time_nanos,iteration_count
Day3 - Part2,(default),,3900453.0,1
Day3 - Part2,(default),,7846757.0,2
Day3 - Part2,(default),,16397863.0,3
Day3 - Part2,(default),,16073407.0,4
Day3 - Part2,(default),,19934131.0,5
Day3 - Part2,(default),,25418256.0,6
Day3 - Part2,(default),,28532549.0,7
Day3 - Part2,(default),,32511232.0,8
Day3 - Part2,(default),,37257250.0,9
Day3 - Part2,(default),,40799991.0,10
Day3 - Part2,(default),,44919956.0,11
Day3 - Part2,(default),,47397089.0,12
Day3 - Part2,(default),,53495039.0,13
Day3 - Part2,(default),,55557266.0,14
Day3 - Part2,(default),,59463223.0,15
Day3 - Part2,(default),,62569297.0,16
Day3 - Part2,(default),,68977693.0,17
Day3 - Part2,(default),,72224848.0,18
Day3 - Part2,(default),,73343189.0,19
Day3 - Part2,(default),,79914689.0,20
Day3 - Part2,(default),,84329820.0,21
Day3 - Part2,(default),,89133445.0,22
Day3 - Part2,(default),,89564060.0,23
Day3 - Part2,(default),,93421791.0,24
Day3 - Part2,(default),,94238940.0,25
Day3 - Part2,(default),,103515868.0,26
Day3 - Part2,(default),,112773928.0,27
Day3 - Part2,(default),,108422533.0,28
Day3 - Part2,(default),,111224573.0,29
Day3 - Part2,(default),,114924919.0,30
Day3 - Part2,(default),,120134891.0,31
Day3 - Part2,(default),,122803509.0,32
Day3 - Part2,(default),,126486202.0,33
Day3 - Part2,(default),,143519969.0,34
Day3 - Part2,(default),,140541759.0,35
Day3 - Part2,(default),,144744288.0,36
Day3 - Part2,(default),,146074487.0,37
Day3 - Part2,(default),,150783709.0,38
Day3 - Part2,(default),,153586343.0,39
Day3 - Part2,(default),,156186701.0,40
Day3 - Part2,(default),,158514517.0,41
Day3 - Part2,(default),,163642029.0,42
Day3 - Part2,(default),,168546641.0,43
Day3 - Part2,(default),,168201800.0,44
Day3 - Part2,(default),,176198658.0,45
Day3 - Part2,(default),,180330471.0,46
Day3 - Part2,(default),,178924976.0,47
Day3 - Part2,(default),,187083441.0,48
Day3 - Part2,(default),,191477552.0,49
Day3 - Part2,(default),,202450611.0,50
Day3 - Part2,(default),,197357205.0,51
Day3 - Part2,(default),,204073290.0,52
Day3 - Part2,(default),,210656638.0,53
Day3 - Part2,(default),,210136706.0,54
Day3 - Part2,(default),,210946721.0,55
Day3 - Part2,(default),,214681362.0,56
Day3 - Part2,(default),,219433117.0,57
Day3 - Part2,(default),,227047003.0,58
Day3 - Part2,(default),,229414171.0,59
Day3 - Part2,(default),,233002246.0,60
Day3 - Part2,(default),,242402671.0,61
Day3 - Part2,(default),,250688872.0,62
Day3 - Part2,(default),,250168684.0,63
Day3 - Part2,(default),,247750169.0,64
Day3 - Part2,(default),,252660552.0,65
Day3 - Part2,(default),,261680112.0,66
Day3 - Part2,(default),,259060667.0,67
Day3 - Part2,(default),,260813138.0,68
Day3 - Part2,(default),,289035892.0,69
Day3 - Part2,(default),,277713645.0,70
Day3 - Part2,(default),,288586788.0,71
Day3 - Part2,(default),,277689272.0,72
Day3 - Part2,(default),,279824948.0,73
Day3 - Part2,(default),,292913307.0,74
Day3 - Part2,(default),,286074490.0,75
Day3 - Part2,(default),,295789496.0,76
Day3 - Part2,(default),,301806620.0,77
Day3 - Part2,(default),,318005075.0,78
Day3 - Part2,(default),,313631842.0,79
Day3 - Part2,(default),,314339134.0,80
Day3 - Part2,(default),,313649238.0,81
Day3 - Part2,(default),,322879569.0,82
Day3 - Part2,(default),,325351906.0,83
Day3 - Part2,(default),,328233112.0,84
Day3 - Part2,(default),,334024819.0,85
Day3 - Part2,(default),,334356591.0,86
Day3 - Part2,(default),,345293328.0,87
Day3 - Part2,(default),,342040828.0,88
Day3 - Part2,(default),,349422118.0,89
Day3 - Part2,(default),,350898131.0,90
Day3 - Part2,(default),,364080464.0,91
Day3 - Part2,(default),,360970411.0,92
Day3 - Part2,(default),,364241387.0,93
Day3 - Part2,(default),,366785427.0,94
Day3 - Part2,(default),,373851953.0,95
Day3 - Part2,(default),,372729801.0,96
Day3 - Part2,(default),,377558829.0,97
Day3 - Part2,(default),,388836566.0,98
Day3 - Part2,(default),,394256984.0,99
Day3 - Part2,(default),,400257065.0,100
