group,function,value,sample_time_nanos,iteration_count
Day2 - Part1,loops,,1740299.0,1
Day2 - Part1,loops,,3624858.0,2
Day2 - Part1,loops,,4786803.0,3
Day2 - Part1,loops,,6894446.0,4
Day2 - Part1,loops,,12182322.0,5
Day2 - Part1,loops,,9546203.0,6
Day2 - Part1,loops,,11040394.0,7
Day2 - Part1,loops,,12369969.0,8
Day2 - Part1,loops,,13696881.0,9
Day2 - Part1,loops,,15942609.0,10
Day2 - Part1,loops,,16885619.0,11
Day2 - Part1,loops,,18641574.0,12
Day2 - Part1,loops,,19905024.0,13
Day2 - Part1,loops,,22488388.0,14
Day2 - Part1,loops,,23618958.0,15
Day2 - Part1,loops,,25544251.0,16
Day2 - Part1,loops,,26486833.0,17
Day2 - Part1,loops,,28820242.0,18
Day2 - Part1,loops,,29005723.0,19
Day2 - Part1,loops,,31869467.0,20
Day2 - Part1,loops,,32070694.0,21
Day2 - Part1,loops,,35345659.0,22
Day2 - Part1,loops,,37025157.0,23
Day2 - Part1,loops,,37803023.0,24
Day2 - Part1,loops,,39401053.0,25
Day2 - Part1,loops,,41390970.0,26
Day2 - Part1,loops,,41834570.0,27
Day2 - Part1,loops,,44685384.0,28
Day2 - Part1,loops,,44949714.0,29
Day2 - Part1,loops,,47440875.0,30
Day2 - Part1,loops,,48398067.0,31
Day2 - Part1,loops,,56505437.0,32
Day2 - Part1,loops,,50907724.0,33
Day2 - Part1,loops,,52411305.0,34
Day2 - Part1,loops,,56408279.0,35
Day2 - Part1,loops,,57158331.0,36
Day2 - Part1,loops,,59428881.0,37
Day2 - Part1,loops,,58696603.0,38
Day2 - Part1,loops,,60888155.0,39
Day2 - Part1,loops,,65347305.0,40
Day2 - Part1,loops,,64557844.0,41
Day2 - Part1,loops,,67053812.0,42
Day2 - Part1,loops,,69421819.0,43
Day2 - Part1,loops,,74354129.0,44
Day2 - Part1,loops,,75895302.0,45
Day2 - Part1,loops,,70903656.0,46
Day2 - Part1,loops,,76154120.0,47
Day2 - Part1,loops,,74013204.0,48
Day2 - Part1,loops,,76153697.0,49
Day2 - Part1,loops,,79662634.0,50
Day2 - Part1,loops,,78550106.0,51
Day2 - Part1,loops,,80509923.0,52
Day2 - Part1,loops,,86363250.0,53
Day2 - Part1,loops,,91086058.0,54
Day2 - Part1,loops,,90873008.0,55
Day2 - Part1,loops,,93499721.0,56
Day2 - Part1,loops,,94076205.0,57
Day2 - Part1,loops,,93781428.0,58
Day2 - Part1,loops,,93915256.0,59
Day2 - Part1,loops,,94210193.0,60
Day2 - Part1,loops,,96771219.0,61
Day2 - Part1,loops,,100454644.0,62
Day2 - Part1,loops,,98705077.0,63
Day2 - Part1,loops,,101225969.0,64
Day2 - Part1,loops,,102663691.0,65
Day2 - Part1,loops,,109508553.0,66
Day2 - Part1,loops,,103166691.0,67
Day2 - Part1,loops,,104279292.0,68
Day2 - Part1,loops,,107571182.0,69
Day2 - Part1,loops,,109176536.0,70
Day2 - Part1,loops,,113113060.0,71
Day2 - Part1,loops,,112123218.0,72
Day2 - Part1,loops,,115369421.0,73
Day2 - Part1,loops,,115451642.0,74
Day2 - Part1,loops,,122592022.0,75
Day2 - Part1,loops,,118317494.0,76
Day2 - Part1,loops,,119618204.0,77
Day2 - Part1,loops,,123078484.0,78
Day2 - Part1,loops,,124389771.0,79
Day2 - Part1,loops,,126222955.0,80
Day2 - Part1,loops,,128765828.0,81
Day2 - Part1,loops,,131307826.0,82
Day2 - Part1,loops,,134447382.0,83
Day2 - Part1,loops,,134769527.0,84
Day2 - Part1,loops,,132597331.0,85
Day2 - Part1,loops,,133288586.0,86
Day2 - Part1,loops,,137374312.0,87
Day2 - Part1,loops,,141714888.0,88
Day2 - Part1,loops,,139729173.0,89
Day2 - Part1,loops,,140396676.0,90
Day2 - Part1,loops,,148312801.0,91
Day2 - Part1,loops,,142481915.0,92
Day2 - Part1,loops,,144027243.0,93
Day2 - Part1,loops,,147595050.0,94
Day2 - Part1,loops,,150870372.0,95
Day2 - Part1,loops,,149615669.0,96
Day2 - Part1,loops,,152402643.0,97
Day2 - Part1,loops,,158739513.0,98
Day2 - Part1,loops,,156371686.0,99
Day2 - Part1,loops,,156554536.0,100
