group,function,value,sample_time_nanos,iteration_count
Day1 - Part2,loops,,1825305.0,2
Day1 - Part2,loops,,3799338.0,4
Day1 - Part2,loops,,4823582.0,6
Day1 - Part2,loops,,7294129.0,8
Day1 - Part2,loops,,8068616.0,10
Day1 - Part2,loops,,9388466.0,12
Day1 - Part2,loops,,10766175.0,14
Day1 - Part2,loops,,12715191.0,16
Day1 - Part2,loops,,13968301.0,18
Day1 - Part2,loops,,16687835.0,20
Day1 - Part2,loops,,17308986.0,22
Day1 - Part2,loops,,18945437.0,24
Day1 - Part2,loops,,20113824.0,26
Day1 - Part2,loops,,21878975.0,28
Day1 - Part2,loops,,41627968.0,30
Day1 - Part2,loops,,25203607.0,32
Day1 - Part2,loops,,26616390.0,34
Day1 - Part2,loops,,29723051.0,36
Day1 - Part2,loops,,39256958.0,38
Day1 - Part2,loops,,32620405.0,40
Day1 - Part2,loops,,35848850.0,42
Day1 - Part2,loops,,35362779.0,44
Day1 - Part2,loops,,37046382.0,46
Day1 - Part2,loops,,47304750.0,48
Day1 - Part2,loops,,48273708.0,50
Day1 - Part2,loops,,51508173.0,52
Day1 - Part2,loops,,53604168.0,54
Day1 - Part2,loops,,58958780.0,56
Day1 - Part2,loops,,55664559.0,58
Day1 - Part2,loops,,58641910.0,60
Day1 - Part2,loops,,59167441.0,62
Day1 - Part2,loops,,67284883.0,64
Day1 - Part2,loops,,62023246.0,66
Day1 - Part2,loops,,64260755.0,68
Day1 - Part2,loops,,58527934.0,70
Day1 - Part2,loops,,60031118.0,72
Day1 - Part2,loops,,84109149.0,74
Day1 - Part2,loops,,80574719.0,76
Day1 - Part2,loops,,65008551.0,78
Day1 - Part2,loops,,73020236.0,80
Day1 - Part2,loops,,73657498.0,82
Day1 - Part2,loops,,75366958.0,84
Day1 - Part2,loops,,77379124.0,86
Day1 - Part2,loops,,82684997.0,88
Day1 - Part2,loops,,86263747.0,90
Day1 - Part2,loops,,83444467.0,92
Day1 - Part2,loops,,83466751.0,94
Day1 - Part2,loops,,88476133.0,96
Day1 - Part2,loops,,92793496.0,98
Day1 - Part2,loops,,94915974.0,100
Day1 - Part2,loops,,95963438.0,102
Day1 - Part2,loops,,104634611.0,104
Day1 - Part2,loops,,92947417.0,106
Day1 - Part2,loops,,87838380.0,108
Day1 - Part2,loops,,87041140.0,110
Day1 - Part2,loops,,85905713.0,112
Day1 - Part2,loops,,91904075.0,114
Day1 - Part2,loops,,101713089.0,116
Day1 - Part2,loops,,102258196.0,118
Day1 - Part2,loops,,106413175.0,120
Day1 - Part2,loops,,109994267.0,122
Day1 - Part2,loops,,111662397.0,124
Day1 - Part2,loops,,117672636.0,126
Day1 - Part2,loops,,112129319.0,128
Day1 - Part2,loops,,113122857.0,130
Day1 - Part2,loops,,110255847.0,132
Day1 - Part2,loops,,112461868.0,134
Day1 - Part2,loops,,108695602.0,136
Day1 - Part2,loops,,110533368.0,138
Day1 - Part2,loops,,111325919.0,140
Day1 - Part2,loops,,121970923.0,142
Day1 - Part2,loops,,113190180.0,144
Day1 - Part2,loops,,150224094.0,146
Day1 - Part2,loops,,127330750.0,148
Day1 - Part2,loops,,140395993.0,150
Day1 - Part2,loops,,139817319.0,152
Day1 - Part2,loops,,136795197.0,154
Day1 - Part2,loops,,126416831.0,156
Day1 - Part2,loops,,126823972.0,158
Day1 - Part2,loops,,125723563.0,160
Day1 - Part2,loops,,128059795.0,162
Day1 - Part2,loops,,145245449.0,164
Day1 - Part2,loops,,162367432.0,166
Day1 - Part2,loops,,166690427.0,168
Day1 - Part2,loops,,144621982.0,170
Day1 - Part2,loops,,146546049.0,172
Day1 - Part2,loops,,151615671.0,174
Day1 - Part2,loops,,155724014.0,176
Day1 - Part2,loops,,159929800.0,178
Day1 - Part2,loops,,165325320.0,180
Day1 - Part2,loops,,143438554.0,182
Day1 - Part2,loops,,147821956.0,184
Day1 - Part2,loops,,153091122.0,186
Day1 - Part2,loops,,149030769.0,188
Day1 - Part2,loops,,155355558.0,190
Day1 - Part2,loops,,161701545.0,192
Day1 - Part2,loops,,162395881.0,194
Day1 - Part2,loops,,177202148.0,196
Day1 - Part2,loops,,162609118.0,198
Day1 - Part2,loops,,156459911.0,200
